,ht,nmt1,nmt2,penmt1,penmt2,pesmt1,pesmt2,pesmt3,smt1,smt2,smt3,src
94,"Donc , après plusieurs années , je me suis ajustée et j&apos; ai beaucoup d&apos; images mentales vraiment géniales et saisissantes avec beaucoup de raffinement et une structure analytique en arrière plan .","Donc , après plusieurs années , je me suis branché et j&apos; ai beaucoup de grandes images mentales vraiment vives avec beaucoup de sophistication et l&apos; épine dorsale analytique derrière eux .","Donc après plusieurs années , je me suis branché et j&apos; ai beaucoup de belles images mentales très vives avec beaucoup de sophistication et de structure analytique derrière eux .","Donc après plusieurs années , je me suis ajustée et j&apos; ai beaucoup d&apos; images mentales vraiment vives avec beaucoup de sophistication et l&apos; épine dorsale analytique derrière elles .","Donc après plusieurs années , je me suis branchée et j&apos; ai eu beaucoup de belles images mentales très vives avec beaucoup de sophistication et de structure analytique derrière elles .","Donc après plusieurs années , je me suis conditionné et j&apos; ai eu plein d&apos; images mentales superbes et très vives , qui étaient très élaborées et possédaient un support analytique .","Ainsi , après plusieurs années , je me suis ajusté et j&apos; ai beaucoup de grandes images mentales , vraiment saisissantes avec beaucoup de sophistication et la structure d&apos; analyse qui les soutient .","Donc après plusieurs années , je me suis réglée et j&apos; ai beaucoup d&apos; excellentes images mentales , très précises , avec beaucoup de sophistication et une ossature analytique qui les soutient .","Donc après plusieurs années , je me suis accordé et j&apos; ai plein de super images mentales très vifs , avec beaucoup de raffinement et la colonne vertébrale analytique derrière eux .","Ainsi , après plusieurs années , je me suis accordé et j&apos; ai beaucoup de grandes images mentales , vraiment vives avec beaucoup de sophistication et de la colonne vertébrale d&apos; analyse derrière eux .","Donc après plusieurs années , je me suis réglée et j&apos; ai beaucoup de grands , très vive images mentales avec beaucoup de sophistication et la colonne vertébrale analytique derrière eux .","So after several years , I tuned myself up and I have lots of great , really vivid mental images with a lot of sophistication and the analytical backbone behind them ."
95,Et donc maintenant je travaille sur cette question : comment puis-je obtenir ces images mentales de ma tête sur mon écran d&apos; ordinateur plus rapidement ?,"Et donc maintenant je travaille , comment puis-je obtenir ces images mentales dans mon esprit jusqu&apos; à mon écran d&apos; ordinateur plus vite ?","Et donc maintenant je travaille , comment puis-je obtenir ces images mentales dans mon esprit à l&apos; écran de mon ordinateur plus vite ?",Et donc maintenant je travaille sur comment puis-je obtenir ces images mentales dans mon esprit jusqu&apos; à mon écran d&apos; ordinateur plus vite ?,Et donc maintenant je travaille sur comment puis-je obtenir ces images mentales de mon esprit sur l&apos; écran de mon ordinateur plus rapidement ?,"Et donc maintenant je travaille sur , comment puis-je faire passer ces images mentales de mon esprit à l&apos; écran de mon ordinateur plus vite ?",Et maintenant je travaille à la manière dont je peux faire passer ces images mentales de mon esprit à mon écran d&apos; ordinateur plus rapidement ?,Et donc maintenant je travaille sur la façon dont je peux extraire ces images mentales de mon esprit pour les transférer plus rapidement vers mon écran d&apos; ordinateur ?,"Et donc maintenant je travaille sur , comment puis-je obtenir ces images mentales dans mon esprit à l&apos; écran de mon ordinateur plus vite ?","Et maintenant je travaille , comment puis-je obtenir ces images mentales dans mon esprit à mon écran d&apos; ordinateur plus rapide ?","Et donc maintenant je travaille , comment puis-je reçois ces images mentales dans mon esprit à mon écran d&apos; ordinateur plus vite ?","And so now I &apos;m working on , how can I get these mental images in my mind out to my computer screen faster ?"
96,"Vous pouvez imaginer , si vous voulez , un directeur de film ayant la possibilité d&apos; utiliser son imagination seule pour diriger le monde en face de nous ?","Pouvez-vous imaginer , si vous voulez , un réalisateur de films capable d&apos; utiliser son imagination seule pour diriger le monde devant elle ?","Pouvez-vous imaginer , si vous voulez , un réalisateur de cinéma capable d&apos; utiliser son imagination seule pour diriger le monde devant elle ?","Vous imaginez , par exemple , une réalisatrice de films capable d&apos; utiliser uniquement son imagination pour diriger le monde devant elle ?","Pouvez-vous imaginer , si vous voulez , un réalisateur de cinéma capable d&apos; utiliser son imagination seule pour diriger le monde devant lui ?","Vous imaginez , si vous voulez , un réalisateur de film être en mesure d&apos; utiliser son imagination seule pour diriger le monde en face de lui ?","Pouvez-vous imaginer , si vous le souhaitez , un réalisateur de cinéma capable d&apos; utiliser uniquement son imagination pour diriger le monde qui l&apos; entoure ?","Pouvez-vous imaginer , si vous voulez , une réalisatrice de film capable d&apos; utiliser uniquement son imagination pour diriger le monde devant elle ?","Vous imaginez , si vous voulez , un film réalisateur être en mesure d&apos; utiliser son imagination seul pour diriger le monde en face d&apos; elle ?","Pouvez-vous imaginer , si vous voulez , un réalisateur de cinéma étant en mesure d&apos; utiliser son imagination seule pour diriger le monde devant elle ?","Pouvez-vous imaginer , si vous voulez , un film directeur être capables d&apos; utiliser son imagination seul pour diriger le monde devant son ?","Can you imagine , if you will , a movie director being able to use her imagination alone to direct the world in front of her ?"
97,Ou un musicien pour extraire la musique de sa tête .,Ou un musicien pour sortir la musique de sa tête ?,Ou un musicien pour sortir la musique de sa tête ?,Ou un musicien pour sortir la musique de sa tête ?,Ou un musicien de sortir la musique de sa tête ?,Ou un musicien sortant la musique de sa tête ?,Ou un musicien obtenir la musique de sa tête ?,Ou un musicien qui pourrait extraire des morceaux de musique de sa tête ?,Ou un musicien pour promouvoir la musique de sa tête ?,Ou un musicien pour obtenir la musique de sa tête ?,Ou un musicien pour obtenir la musique de sa tête ?,Or a musician to get the music out of his head ?
98,"Il y a des possibilités incroyables , comme un moyen pour les personnes créatives de partager leurs pensées à la vitesse de la lumière .",Il y a des possibilités incroyables avec cela comme un moyen pour les gens créatifs de partager à la vitesse de la lumière .,Il y a des possibilités incroyables avec cela comme un moyen pour les gens créatifs de partager à la vitesse de la lumière .,Il y a des possibilités incroyables avec cela comme le moyen pour les gens créatifs de partager à la vitesse de la lumière .,"Il y a des possibilités incroyables avec cela , comme un moyen pour les gens créatifs de partager à la vitesse de la lumière .","On pourrait utiliser cette faculté de multiples façons , elle pourrait être par exemple un moyen pour les gens créatifs de partager leur création à la vitesse de la lumière .",Il y a des possibilités incroyables avec cela comme un moyen pour les gens créatifs de partager à la vitesse de la lumière .,Il y a des possibilités incroyables avec ça comme moyen pour les créatifs de partager à la vitesse de la lumière .,Il y a possibilités incroyables avec cette comme un moyen pour les gens créatifs à partager à la vitesse de la lumière .,Il y a des possibilités incroyables avec cela comme un moyen pour les gens créatifs à partager à la vitesse de la lumière .,Il y a des possibilités incroyable avec cela comme un moyen pour créatifs partager à la vitesse de la lumière .,There are incredible possibilities with this as a way for creative people to share at light speed .
99,Alors laissez-moi vous montrer pourquoi je pense que nous sommes assez proches du but en partageant avec vous deux expériences récentes de deux groupes précurseurs dans la neuroscience .,Laissez-moi vous montrer pourquoi je pense que nous sommes assez proches d&apos; y arriver en partageant avec vous deux expériences récentes de deux grands groupes de neurosciences .,Laissez-moi vous montrer pourquoi je pense que nous sommes assez proches d&apos; y arriver en partageant avec vous deux expériences récentes de deux grands groupes de neurosciences .,Laissez-moi vous montrer pourquoi je pense que nous sommes assez proches d&apos; y arriver en partageant avec vous deux expériences récentes de deux grands groupes de neurosciences .,"Je vais vous démontrer pourquoi nous sommes assez proche d&apos; obtenir ce résultat , en partageant avec vous deux expériences récentes réalisées par deux grands groupes de neurosciences .",Donc laissez-moi vous montrer pourquoi je pense qu&apos; on est assez près d&apos; y arriver en partageant avec vous deux expériences récentes de deux éminents groupes de neurosciences .,"Alors , permettez-moi de vous montrer pourquoi je pense que nous sommes sur le point d&apos; y arriver en partageant avec vous deux expériences récentes de deux groupes spécialisés en neurosciences de haut niveau .",Laissez-moi vous montrer pourquoi je pense que nous sommes assez proche d&apos; y arriver en partageant avec vous deux expériences récentes de deux importants groupes de neurosciences .,Donc laissez-moi vous montrer pourquoi je pense qu&apos; on est assez près pour y arriver en partageant avec vous deux expériences récentes de deux groupes neurosciences en haut .,Alors permettez-moi de vous montrer pourquoi je pense que nous sommes assez près d&apos; y arriver en partageant avec vous deux expériences récentes de deux groupes de neurosciences haut .,Laissez-moi vous montrer pourquoi je pense que nous sommes assez proche de arrivent en partageant avec vous deux expériences récente de deux groupes haut neurosciences .,So let me show you why I think we &apos;re pretty close to getting there by sharing with you two recent experiments from two top neuroscience groups .
100,Les deux utilisaient l&apos; IRMf -- technologie d&apos; imagerie par résonance magnétique fonctionnelle -- pour créer des images du cerveau . Et voici un scanner du cerveau de Giorgio Ganis et de ses collègues à l&apos; Université d&apos; Harvard .,"Les deux ont utilisé la technologie IRM fonctionnelle -- la technologie d&apos; imagerie par résonance magnétique fonctionnelle -- pour visualiser le cerveau , et voici un scanner cérébral à partir de Larry Ganis et de ses collègues de Harvard .","A la fois utilisé une technologie -- une technologie de résonance magnétique fonctionnelle -- pour représenter le cerveau , et voici un scan du cerveau de et ses collègues à Harvard .","Les deux ont utilisé la technologie IRM fonctionnelle -- la technologie d&apos; imagerie par résonance magnétique fonctionnelle -- pour visualiser le cerveau , et voici un scanner cérébral par Giorgio Ganis et ses collègues de Harvard .","Tous deux ont utilisé une technologie fMRI -- une technologie d&apos; imagerie à résonance magnétique fonctionnelle -- pour représenter le cerveau , et voici un scan du cerveau de Giorgio Ganis et ses collègues à Harvard .","Les deux ont utilisé la technologie IRMf -- technologie d&apos; imagerie par résonance magnétique fonctionnelle -- pour montrer le cerveau , et là , c&apos; est un scanner cérébral de Giorgio Ganis et ses collègues de Harvard .","Les groupes ont utilisé la technologie fMRI - la technologie de l&apos; imagerie par résonance magnétique fonctionnelle - pour susciter des images dans le cerveau , et voici un scan du cerveau réalisé par de Giorgio Ganis et ses collègues de Harvard .","Les deux ont utilisé une technologie d&apos; IRMf -- technologie d&apos; imagerie par résonance magnétique fonctionnelle -- pour observer le cerveau , et voici un jeu de scanners cérébraux de Giorgio Ganis et de ses collègues à Harvard .","Les deux utilisé l&apos; IRMf technologie -- une technologie d&apos; imagerie par résonance magnétique fonctionnelle -- pour image le cerveau , et ici , c&apos; est un scanner cérébral ensemble de Giorgio Ganis et ses collègues à Harvard .","Les deux technologies IRMf utilisé - la technologie magnétique fonctionnelle d&apos; imagerie par résonance - à l&apos; image du cerveau , et voici un scan du cerveau mis de Giorgio Ganis et ses collègues de Harvard .","Les deux IRM technologie -- l&apos; imagerie par résonance magnétique fonctionnelle technologie -- pour observer le cerveau , et voici un scanner cérébral ensemble de Giorgio Ganis et ses collègues à Harvard .","Both used fMRI technology -- functional magnetic resonance imaging technology -- to image the brain , and here is a brain scan set from Giorgio Ganis and his colleagues at Harvard ."
101,La colonne de gauche montre un scanner cérébral d&apos; une personne qui regarde une image .,Et la colonne de gauche montre un scanner cérébral d&apos; une personne regardant une image .,Et la colonne de gauche montre un scan du cerveau d&apos; une personne qui regarde une image .,Et la colonne de gauche montre un scanner cérébral d&apos; une personne regardant une image .,Et la colonne de gauche montre un scan du cerveau d&apos; une personne qui regarde une image .,Et la colonne de gauche montre le scanner du cerveau d&apos; une personne regardant une image .,Et la colonne de gauche montre un scanner du cerveau d&apos; une personne regardant une image .,Et la colonne de gauche montre un scan cérébral d&apos; une personne regardant une image .,Et la colonne de gauche montre un scanner du cerveau d&apos; une personne regarde une image .,Et la colonne de gauche montre un scanner du cerveau d&apos; une personne regardant une image .,Et la colonne de gauche montre un scan du cerveau d&apos; une personne en regardant une image .,And the left-hand column shows a brain scan of a person looking at an image .
102,La colonne du milieu montre le scanner cérébral de cette même personne qui imagine regarder cette même image .,"La colonne du milieu montre les brinsas de ce même individu en imaginant , en voyant cette même image .","La colonne moyenne montre le de la même imagination individuelle , en voyant cette même image .","La colonne du milieu montre un scan du cerveau de ce même individu imaginant , voyant cette même image .","La colonne du milieu montre le scanner cérébral de la même imagination individuelle , en voyant cette même image .","La colonne du milieu indique le scanner du cerveau de ce même individu imaginant , voyant cette même image .",La colonne du milieu montre le scan cérébral de ce même individu imaginant voir cette même image .,"La colonne du milieu montre le scanner de cette même personne imaginant , voyant cette même image .","La colonne du milieu indique les brainscan de ce même individu imaginant , voyant que même image .","La colonne du milieu montre le brainscan de cette même imagination individuelle , en voyant cette même image .","La colonne montre le brainscan de cette même imaginer individuel , voir la même image .","The middle column shows the brainscan of that same individual imagining , seeing that same image ."
103,"Et la colonne de droite a été créée en soustrayant la colonne du milieu de la colonne de gauche , indiquant que la différence est quasi nulle .","Et la bonne colonne a été créée en soustrayant la colonne du milieu de la colonne de gauche , montrant la différence d&apos; être presque zéro .","Et la colonne droite a été créée en la colonne du milieu de la colonne gauche , montrant la différence d&apos; être presque zéro .","Et la colonne de droite a été créée en soustrayant la colonne du milieu de la colonne de gauche , montrant que la différence est presque zéro .","Et la colonne de droite a été créée en soustrayant la colonne du milieu de la colonne de gauche , montrant que la différence est presque de zéro .","Et la colonne de droite a été créée en soustrayant la colonne du milieu de la colonne de gauche , et elle montre que la différence est proche de zéro .","Et la colonne de droite a été créé en soustrayant la colonne du milieu de la colonne de gauche , montrant la différence qui est proche de zéro .","Et la colonne de droite a été créée en soustrayant la colonne du milieu , et montre que la différence est proche de zéro .","Et la colonne de droite a été créée en soustrayant la colonne du milieu de la colonne de gauche , montrant la différence d&apos; être proche de zéro .","Et la colonne de droite a été créé en soustrayant la colonne du milieu de la colonne de gauche , montrant la différence d&apos; être proche de zéro .","Et la colonne de droite a été créé en soustrayant au milieu de la colonne , montrant la différence pour être près de zéro .","And the right column was created by subtracting the middle column from the left column , showing the difference to be nearly zero ."
104,"Cela a été répété sur beaucoup de personnes différentes avec beaucoup d&apos; images différentes , toujours avec un résultat similaire .","Cela a été répété sur beaucoup d&apos; individus différents avec beaucoup d&apos; images différentes , toujours avec un résultat similaire .","Cela a été répété sur beaucoup d&apos; individus différents avec beaucoup d&apos; images différentes , toujours avec un résultat similaire .","Cela a été répété sur beaucoup d&apos; individus différents avec beaucoup d&apos; images différentes , toujours avec un résultat similaire .","Cela a été répété sur beaucoup d&apos; individus différents avec beaucoup d&apos; images différentes , toujours avec un résultat similaire .","Cette expérience a été réalisée sur de nombreuses personnes différentes grâce à de nombreuse images différentes , et le résultat a été sensiblement le même .","Cela a été répété sur beaucoup de personnes différentes avec beaucoup d&apos; images différentes , toujours avec un résultat similaire .","Cela a été répété sur beaucoup d&apos; individus différents avec beaucoup de différentes images , toujours avec un résultat similaire .","Ceci a été répété sur beaucoup d&apos; individus différents avec plein d&apos; images différentes , toujours avec le même résultat .","Cela a été répété sur beaucoup de différentes personnes avec beaucoup d&apos; images différentes , toujours avec un résultat similaire .","C&apos; est répété sur beaucoup d&apos; individus différents avec beaucoup de différentes images , toujours avec un résultat similaire .","This was repeated on lots of different individuals with lots of different images , always with a similar result ."
105,La différence entre voir une image et imaginer voir cette même image est presque inexistante .,La différence entre voir une image et imaginer voir cette même image est à côté de rien .,La différence entre voir une image et imaginer voir cette même image est à côté de rien .,La différence entre voir une image et imaginer voir cette même image est presque nulle .,La différence entre voir une image et imaginer qu&apos; on voit cette même image est presque nulle .,La différence entre voir une image et imaginer voir cette même image est presque inexistante .,La différence entre voir une image et imaginer voir cette même image est pratiquement nulle .,La différence entre voir une image et imaginer voir la même image est minime .,La différence entre voir une image et imaginant voir cette même image est presque rien .,La différence entre voir une image et imaginer de voir cette même image est à côté de rien .,La différence entre voir une image et imaginer voir la même image est presque rien .,The difference between seeing an image and imagining seeing that same image is next to nothing .
106,"Maintenant , permettez-moi de partager avec vous une autre expérience : celle du laboratoire de Jack Gallant à l&apos; université de Californie , Berkeley .","Ensuite laissez-moi partager avec vous une autre expérience , ceci du laboratoire de Jack Gallant à Harvard Berkeley .","Ensuite permettez-moi de partager avec vous une autre expérience , celle du laboratoire de Jack à Cal Berkeley .","Ensuite laissez-moi partager avec vous une autre expérience , celle-ci du laboratoire de Jack Gallant à l&apos; université Berkeley .","Ensuite permettez-moi de partager avec vous une autre expérience , celle du laboratoire de Jack Gallant à Cal Berkeley .","Ensuite , permettez-moi de partager avec vous une autre expérience , celle du labo de Jack Gallant à Cal Berkeley .","Ensuite , laissez-moi partager avec vous une autre expérience , celle du laboratoire de Jack Gallant à Cal Berkeley .","Ensuite permettez-moi de partager avec vous une autre expérience , celle du laboratoire de Jack Gallant à l&apos; Université de Berkeley , Californie .","Ensuite , permettez-moi de partager avec vous une autre expérience , ça de Jack Gallant est labo à Cal Berkeley .","Suivant laissez-moi partager avec vous une autre expérience , cela du laboratoire de Jack Gallant à Cal Berkeley .","Ensuite permettez-moi de partager avec vous une autre expérience , cette de Jack Gallant du laboratoire à Cal Berkeley .","Next let me share with you one other experiment , this from Jack Gallant &apos;s lab at Cal Berkeley ."
107,"Dans cette expérience , on montrait aux individus des centaines d&apos; heures de vidéos YouTube pendant qu&apos; on scannait leur cerveau pour créer un important répertoire de leur cerveau réagissant à ces séquences vidéo .","Dans cette expérience , les individus ont montré des centaines d&apos; heures de vidéos YouTube pendant que les scans ont été faits de leur cerveau pour créer une grande bibliothèque de leur cerveau réagissant aux séquences vidéo .","Dans cette expérience , les individus ont montré des centaines d&apos; heures de vidéos YouTube pendant que les scans étaient faits de leur cerveau pour créer une grande bibliothèque de leur cerveau qui réagit aux séquences vidéo .","Dans cette expérience , des individus ont regardé des centaines d&apos; heures de vidéos YouTube pendant que des scans de leur cerveau étaient réalisés pour créer une grande bibliothèque de leur cerveau réagissant aux séquences vidéo .","Dans cette expérience , on a montré à des individus des centaines d&apos; heures de vidéos YouTube pendant qu&apos; on leur scannait leur cerveau pour créer une grande bibliothèque de leur cerveau réagissant aux séquences vidéo .","Dans cette expérience , on a montré à des individus des centaines d&apos; heures de vidéos YouTube pendant que des scanners étaient faits de leurs cerveaux pour créer une grande bibliothèque de leur cerveau réagissant à des séquences vidéo .","Durant cette expérience , on a montré à des individus des centaines d&apos; heures de vidéos YouTube alors que dans le même temps on réalisait des scans de leur cerveau pour créer une grande bibliothèque de leur cerveau alors qu&apos; il réagissait à des séquences vidéo .","Dans cette expérience , on a montré à des individus des centaines d&apos; heures de vidéos YouTube tout en scannant leurs cerveaux pour créer une grande bibliothèque de leur cerveau réagissant aux séquences vidéo .","Dans cette expérience , les individus ont été montré des centaines d&apos; heures de vidéos YouTube pendant que scans étaient faits de leurs cerveaux pour créer une grande bibliothèque de leurs cerveau réagit à des séquences vidéo .","Dans cette expérience , les individus ont été montrés des centaines d&apos; heures de vidéos YouTube tout scans ont été faites de leur cerveau pour créer une grande bibliothèque de leur cerveau en réaction à des séquences vidéo .","Dans cette expérience , individus ont montré des centaines d&apos; heures de vidéos YouTube tout en scans étaient de leurs cerveaux pour créer une grande bibliothèque de leur cerveau réagit à séquences vidéo .","In this experiment , individuals were shown hundreds of hours of YouTube videos while scans were made of their brains to create a large library of their brain reacting to video sequences ."
108,"Dans beaucoup de sociétés tribales et patriarcales , les pères sont généralement reconnus parce qu&apos; ils ont des fils , mais je suis l&apos; un des rares pères à être connu parce qu&apos; il a une fille et j&apos; en suis fier .","Dans de nombreuses sociétés patriarcales et sociétés tribales , les pères sont généralement connus par leurs fils , mais je suis l&apos; un des rares pères qui est connu par sa fille , et j&apos; en suis fier .","Dans de nombreuses sociétés et sociétés tribales , les pères sont généralement connus par leurs fils , mais je suis l&apos; un des rares pères qui sont connus par sa fille , et j&apos; en suis fier .","Dans de nombreuses sociétés patriarcales et tribales , les pères sont généralement obtiennent la reconnaissance grâce leurs fils , mais je suis l&apos; un des rares pères a avoir obtenue la reconnaissance grâce à sa fille , et j&apos; en suis fier .","Dans de nombreuses sociétés patriarcales et sociétés tribales , les pères sont généralement connus par leurs fils , mais je suis l&apos; un des rares pères qui sont connus par leur fille , et j&apos; en suis fier .","Dans de nombreuses sociétés patriarcales et tribales , les pères sont généralement connus par rapport leurs fils , mais je suis l&apos; un des rares pères qui sont connus par rapport à leur fille , et j&apos; en suis fier .","Dans de nombreuses sociétés patriarcales et sociétés tribales , les pères sont généralement connus par leurs fils , mais je suis l&apos; un des rares pères qui sont connus par leur fille , et j&apos; en suis fier .","Dans de nombreuses sociétés patriarcales et tribales , les pères sont généralement connus grâce à leurs fils , mais je suis l&apos; un des rares pères qui est connu grâce à sa fille et je suis fier .","Dans de nombreuses sociétés patriarcales et les sociétés tribales , les pères sont généralement connues par leurs fils , mais je suis l&apos; une des rares pères qui est connu par sa fille , et j&apos; en suis fière .","Dans de nombreuses sociétés patriarcales et les sociétés tribales , les pères sont généralement connus par leurs fils , mais je suis l&apos; un des rares pères qui est connu par sa fille , et je suis fier de lui .","Dans de nombreuses sociétés patriarcales et les sociétés tribales , les pères sont généralement connu par leurs fils , mais je suis l&apos; un des rares pères qui est connu par sa fille , et je suis fier .","In many patriarchal societies and tribal societies , fathers are usually known by their sons , but I &apos;m one of the few fathers who is known by his daughter , and I am proud of it ."
109,"Avant ça , elle était ma fille , mais maintenant , je suis son père .","Avant ça , elle était ma fille , mais maintenant je suis son père .","Avant ça , elle était ma fille , mais maintenant je suis son père .","Avant ça , elle était ma fille , mais maintenant je suis son père .","Avant , elle était ma fille , mais maintenant je suis son père .","Avant ça , elle était ma fille , mais maintenant , je suis son père .","Avant cela , elle était ma fille , mais maintenant je suis son père .","Avant cela , elle était ma fille , mais maintenant je suis son père .","Avant ça , elle était ma fille , mais maintenant , je suis son père .","Avant cela , elle était ma fille , mais maintenant je suis son père .","Avant cela , elle était ma fille , mais maintenant je suis son père .","Before that , she was my daughter , but now I am her father ."
110,"Mesdames et messieurs , si nous jetons un œil sur l&apos; histoire humaine , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , de l&apos; inégalité , de la violence et de l&apos; exploitation .","Mesdames et messieurs , si nous regardons l&apos; histoire humaine , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , de l&apos; inégalité , de la violence et de l&apos; exploitation .","Mesdames et Messieurs , si nous regardons l&apos; histoire de l&apos; humanité , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , de l&apos; inégalité , de la violence et de l&apos; exploitation .","Mesdames et messieurs , si nous regardons l&apos; histoire humaine , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , de l&apos; inégalité , de la violence et de l&apos; exploitation .","Mesdames et Messieurs , si nous regardons l&apos; histoire de l&apos; humanité , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , de l&apos; inégalité , de la violence et de l&apos; exploitation .","Mesdames et messieurs , si nous examinons l&apos; histoire de l&apos; humanité , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , l&apos; inégalité , la violence et l&apos; exploitation .","Mesdames et Messieurs , si nous regardons à l&apos; histoire humaine , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , de l&apos; inégalité , de la violence et de l&apos; exploitation .","Mesdames et messieurs , si nous regardons l&apos; histoire de l&apos; humanité , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , de l&apos; inégalité , de la violence et de l&apos; exploitation .","Mesdames et messieurs , si nous vue à l&apos; histoire de l&apos; humanité , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , l&apos; inégalité , la violence et l&apos; exploitation .","Mesdames et Messieurs , si nous regardons à l&apos; histoire humaine , l&apos; histoire des femmes est l&apos; histoire de l&apos; injustice , l&apos; inégalité , la violence et l&apos; exploitation .","Mesdames et messieurs , si nous vue de l&apos; histoire de l&apos; humanité , l&apos; histoire de femmes est l&apos; histoire de l&apos; injustice , l&apos; inégalité , la violence et l&apos; exploitation .","Ladies and gentlemen , if we glance to human history , the story of women is the story of injustice , inequality , violence and exploitation ."
111,"Elle n&apos; est pas bien accueillie ni par son père , ni par sa mère .","Elle n&apos; est pas accueilli , ni par le père ni par mère .","Elle n&apos; est pas accueilli , ni par le père ni par la mère .","Elle n&apos; est pas bien accueillie , ni par le père ni par la mère .","Elle n&apos; est pas accueillie , ni par le père ni par la mère .",Elle n&apos; est bien accueillie ni par son père ni par sa mère .,"Elle est mal accueillie , que ce soit par le père , ou par la mère .","Elle n&apos; est pas bienvenue , ni par les pères ni par les mères .","Elle n&apos; est pas accueilli par , ni père ni mère .","Elle est mal accueillie , ni par le père , ni par la mère .","Elle n&apos; est pas accueilli , ni par père ni par mère .","She is not welcomed , neither by father nor by mother ."
112,Le voisinage vient pour s&apos; apitoyer avec la mère et personne ne félicite le père .,"Le quartier vient et commerise avec la mère , et personne ne félicite le père .","Le quartier vient et avec la mère , et personne ne le père .","Le quartier vient et compatit avec la mère , et personne ne félicite le père .",Le voisinage vient et compatit avec la mère et personne ne félicite le père .,"Tous les gens du quartier affluent et compatissent avec la mère , et personne ne félicite le père .","Le quartier vient et s&apos; apitoie avec la mère , et personne ne félicite le père .","Les habitants du quartier arrivent et compatissent avec la mère , et personne ne félicite le père .","Le quartier vient et compatis avec la mère , et personne ne félicite le père .","Le quartier vient et apitoie avec la mère , et personne ne félicite le père .","Le quartier arrive et commiserates avec la mère , et personne ne congratulates le père .","The neighborhood comes and commiserates with the mother , and nobody congratulates the father ."
113,Et la mère est très mal à l&apos; aise d&apos; avoir eu une fille .,Et une mère est très mal à l&apos; aise pour avoir une petite fille .,Et une mère est très mal à l&apos; aise pour avoir une petite fille .,Et une mère est très mal à l&apos; aise d&apos; avoir eu une fille .,Et une mère est très mal à l&apos; aise d&apos; avoir une petite fille .,Et une mère est très mal à l&apos; aise si elle met au monde une fille .,Et une mère est très mal à l&apos; aise d&apos; avoir une petite fille .,Et une mère est très mal à l&apos; aise d&apos; avoir eu une fille .,Et une mère est très inconfortable pour avoir une fille enfant .,Et une mère est très mal à l&apos; aise d&apos; avoir une petite fille .,Et une mère est très mal à l&apos; aise pour avoir une fille .,And a mother is very uncomfortable for having a girl child .
114,"Quand elle donne la vie à son premier bébé et que c&apos; est une fille , une première fille , elle est triste .","Quand elle donne naissance à la première fille fille , la première fille , elle est triste .","Quand elle donne naissance à la première fille , la première fille , elle est triste .","Quand elle donne naissance à son premier enfant fille , la première fille , elle est triste .","Quand elle donne naissance au premier bébé fille , à sa première fille , elle est triste .","Lorsqu&apos; elle donne naissance à sa première fille enfant , première fille , elle est triste .","Quand elle donne naissance à la première enfant , la première fille , elle est triste .","Quand elle donne naissance à une première fille , elle est triste .","Lorsqu &apos; elle donne naissance à la première fille enfant , première fille , elle est triste .","Quand elle donne naissance au premier enfant de fille , première fille , elle est triste .","Quand elle donne naissance à la première fille , fille , elle est triste .","When she gives birth to the first girl child , first daughter , she is sad ."
